,sentence,author
0,"Six horses were yoked to it, whereas the others were furnished with two, or, at most, four a-piece.",Doyle
1,"We had said nothing to him about it, so that his alluding to it had a most suspicious aspect.”",Doyle
2,"You’d have done the same, if you have any manhood in you, if you had been in my place.",Doyle
3,It would be to your advantage as well as mine if I might leave the house for five minutes.’,Doyle
4,"At any rate, we may take it as a hypothesis and see what consequences it would entail.",Doyle
5,“‘What papers?,Doyle
6,"I was at a loss what to say or what to do, and before I had made up my mind he picked up his cane and was gone.",Doyle
7,"""Open the window, then!",Doyle
8,"""Well, then, to-night?""",Doyle
9,"Your father has, if I remember right, been dead many years.",Doyle
10,Even Stapleton's attempt upon Sir Henry that night which ended in the death of the unfortunate convict did not help us much in proving murder against our man.,Doyle
11,“There will be two or three in the boat.,Doyle
12,“Have you had something to eat?,Doyle
13,"""Why, then we may find the lady of service.",Doyle
14,"You owe a very humble apology to that noble lad, your son, who has carried himself in this matter as I should be proud to see my own son do, should I ever chance to have one.”",Doyle
15,"But, in the second place, why did you not come at once?”",Doyle
16,"The wagonette was paid off and ordered to return to Coombe Tracey forthwith, while we started to walk to Merripit House.",Doyle
17,The fog was so thick that a cab was useless.,Doyle
18,"The night was so wet that no one was about, so Charpentier dragged the body of his victim into the empty house.",Doyle
19,"“It is perhaps less suggestive than it might have been,” he remarked, “and yet there are a few inferences which are very distinct, and a few others which represent at least a strong balance of probability.",Doyle
20,I shall take nothing for granted until I have the opportunity of looking personally into it.,Doyle
21,She’s Lucy Ferrier from this day on.,Doyle
22,SIMON.’,Doyle
23,It is all patent and above-board.,Doyle
24,"He opened the door himself, however, and greeted me with a great show of cordiality.",Doyle
25,"“I have jotted down the more essential ones upon this sheet of paper, together with a few addresses which you will find of service.",Doyle
26,"""These rocks upon the right make an admirable screen.""",Doyle
27,"“‘If you please, Miss Stoper.’",Doyle
28,When?”,Doyle
29,"Thus it was that in the early spring of that year we found ourselves together in a small cottage near Poldhu Bay, at the further extremity of the Cornish peninsula.",Doyle
30,"You will leave the papers here, and remember the advice which I have given you.",Doyle
31,"“Oh, you mean the little problem of the Grosvenor Square furniture van.",Doyle
32,“His face fell immediately.,Doyle
33,"He distrusted his wife ever since she had refused to help him in laying a trap for the old man, and he dared not leave her long out of his sight for fear he should lose his influence over her.",Doyle
34,He makes one curious but profound remark.,Doyle
35,"Don't you think, Watson, that you are away from your charge rather long?",Doyle
36,"We passed up the stair, unlocked the door, followed on down a passage, and found ourselves in front of the barricade which Miss Hunter had described.",Doyle
37,One hears—one hears such dreadful stories about those who oppose the Prophet: something terrible always happens to them.”,Doyle
38,I trust that he may not remember any of the answers which I gave him that night.,Doyle
39,Some blankets rolled in a waterproof lay upon that very stone slab upon which Neolithic man had once slumbered.,Doyle
40,"“I have my revolver,” said I.  “Better close the front door,” cried Holmes, and we all rushed down the stairs together.",Doyle
41,"He looked at me with a last long, questioning gaze, and then, pressing my hand in a cold, dank grasp, he hurried from the room.",Doyle
42,‘I perceive that all is as it should be.,Doyle
43,"But look at these lonely houses, each in its own fields, filled for the most part with poor ignorant folk who know little of the law.",Doyle
44,"I think we must admit that all the evidence points to this man, Mortimer Tregennis, having been the criminal in the first tragedy, though he was the victim in the second one.",Doyle
45,"Then on the top of these more or less vague impressions there had come the definite and distinct warning of Miss Stapleton, delivered with such intense earnestness that I could not doubt that some grave and deep reason lay behind it.",Doyle
46,"To follow them and break into their intimate conversation seemed to be an outrage, and yet my clear duty was never for an instant to let him out of my sight.",Doyle
47,“You remember the Baker Street division of the detective police force whom I employed in the Jefferson Hope case?”,Doyle
48,“I’m too ill to think.”,Doyle
49,"Ah, Mrs. Warren! what news do you bring us this morning?”",Doyle
50,"Our handful of men were lost among the narrow, winding streets.",Doyle
51,I laughed at this cross-examination.,Doyle
52,"""Well, I don't profess to understand it yet.",Doyle
53,"He calls attention, and with reason, to the discrepancy about his father having signalled to him before seeing him, also to his refusal to give details of his conversation with his father, and his singular account of his father’s dying words.",Doyle
54,"“Very,” said Holmes.",Doyle
55,"Had you been a lying Hindoo, though you had sworn by all the gods in their false temples, your blood would have been upon the knife, and your body in the water.",Doyle
56,"“Is that you, Mr. Smith?”",Doyle
57,"It is remarkable only for the fact that amid a perfect jungle of possibilities we, with our worthy collaborator, the inspector, have kept our close hold on the essentials and so been guided along the crooked and winding path.",Doyle
58,I thought it as well to have Jones with us also.,Doyle
59,And now we must be silent and wait.”,Doyle
60,"Our friends are wise, for it is certainly a very fine morning for a walk.""",Doyle
61,"“You seem to be a walking calendar of crime,” said Stamford with a laugh.",Doyle
62,"The night was fine, and the stars were twinkling brightly overhead.",Doyle
63,He had hardly spoken before there rushed into the room one of the most lovely young women that I have ever seen in my life.,Doyle
64,"“Not social, then?”",Doyle
65,I would rather have Toby’s help than that of the whole detective force of London.”,Doyle
66,No man ever had a more faithful mate.,Doyle
67,“But not more so than I to find you.”,Doyle
68,"“Our friend won’t keep us out in the cold now, I am sure.”",Doyle
69,"“Philippe de Croy, whoever he may have been.",Doyle
70,"“I assure you that everything was perfectly normal and there was no room for foul play in the matter,” said he.",Doyle
71,"It is too much to be balked by so petty an obstacle, when all else had been overcome.",Doyle
72,On the death of Sir Charles we inquired for this young gentleman and found that he had been farming in Canada.,Doyle
73,I know the military neatness which characterises you.,Doyle
74,"""I had no idea that so gigantic a sum was involved,"" said he.",Doyle
75,"When eleven struck, the measured beat of the great church clock seemed to sound the dirge of our hopes.",Doyle
76,“Would you mind reading it to me aloud?”,Doyle
77,I stowed them all discreetly away in my overcoat and drove straight to the address given.,Doyle
78,"“He has a good deal to thank you for, and so have I,” she answered, “he’s awful fond of me.",Doyle
79,"A chair had been placed close to the central window, with its back turned towards it.",Doyle
80,"“Why, you’re a common burglar.”",Doyle
81,"“I cannot admire his taste,” I remarked, “if it is indeed a fact that he was averse to a marriage with so charming a young lady as this Miss Turner.”",Doyle
82,If you should find yourself in doubt or in danger—”  “Danger!,Doyle
83,"My old man woke up Jim,—that’s my eldest,—and away they went, without so much as a word to me.",Doyle
84,"A broad wheal from an old scar ran right across it from eye to chin, and by its contraction had turned up one side of the upper lip, so that three teeth were exposed in a perpetual snarl.",Doyle
85,Have you ever heard of this preparation?”,Doyle
86,From every point on the compass there was nothing but torture and murder and outrage.,Doyle
87,"If the chief constructor of the Navy desired to consult them, even he was forced to go to the Woolwich office for the purpose.",Doyle
88,Oliver's private school.,Doyle
89,I only quote this as a trivial example of observation and inference.,Doyle
90,"Then perhaps I had better postpone my analysis of the acetones, as we may need to be at our best in the morning.”",Doyle
91,"Holmes pointed with a chuckle to one of these, a row of residential flats, which projected so that they could not fail to catch the eye.",Doyle
92,"I have, as you know, devoted some attention to this, and written a little monograph on the ashes of 140 different varieties of pipe, cigar, and cigarette tobacco.",Doyle
93,But that cry of pain from the hound had blown all our fears to the winds.,Doyle
94,"We followed their cab until it pulled up somewhere near here.""",Doyle
95,"It is a shocking habit,—destructive to the logical faculty.",Doyle
96,A tall man had stepped from the shadow of the porch to open the door of the wagonette.,Doyle
97,"This explanation was borne out by the post-mortem examination, which showed long-standing organic disease, and the coroner's jury returned a verdict in accordance with the medical evidence.",Doyle
98,"""You will tell him that you want to see the waste-paper of yesterday.",Doyle
99,"What's the game now?""",Doyle
100,"Whether it was the terrible death of her father or the effects of the hateful marriage into which she had been forced, poor Lucy never held up her head again, but pined away and died within a month.",Doyle
101,Twenty-four geese at 7_s_.,Doyle
102,"“‘Arthur would rather that we spoke the truth,’ the girl answered firmly.",Doyle
103,"“The facts are briefly these: Some five years ago, during a lengthy visit to Warsaw, I made the acquaintance of the well-known adventuress, Irene Adler.",Doyle
104,“Holmes!” he cried.,Doyle
105,"In the last century, however, four successive heirs were of a dissolute and wasteful disposition, and the family ruin was eventually completed by a gambler in the days of the Regency.",Doyle
106,"These were very remarkable, but as eccentric as all his other accomplishments.",Doyle
107,He was once a schoolmaster in the north of England.,Doyle
108,“I am not clear how you came to hear the news so early this morning.”,Doyle
109,That gravel page upon which I might have read so much has been long ere this smudged by the rain and defaced by the clogs of curious peasants.,Doyle
110,"Philosophy, astronomy, and politics were marked at zero, I remember.",Doyle
111,"My God, can there be some truth in all these stories?",Doyle
112,"“Before they come,” said Holmes, “just put your hand here on this poor fellow’s arm, and here on his leg.",Doyle
113,“His conduct was certainly not very gracious.”,Doyle
114,"Halloa, Watson, what's this?",Doyle
115,She just lay across the arm of the chair with that look on her face.,Doyle
116,“It is possible.”,Doyle
117,"Our wagonette had topped a rise and in front of us rose the huge expanse of the moor, mottled with gnarled and craggy cairns and tors.",Doyle
118,"Holmes had received a telegram while we sat at our lunch, and he had scribbled a reply.",Doyle
119,I’d rather watch him from over the water.”,Doyle
120,"“I am about to tell you, Mr. Holmes, all that actually occurred, for you already know so much that it is clearly to my interest that you should know all.",Doyle
121,"He could climb like a cat, and he soon made his way through the roof, but, as ill luck would have it, Bartholomew Sholto was still in the room, to his cost.",Doyle
122,"I waited, therefore—but to my ever-deepening disappointment I waited in vain.",Doyle
123,"Who then but Miss Burnet, the governess?",Doyle
124,"I seated myself in his armchair and warmed my hands before his crackling fire, for a sharp frost had set in, and the windows were thick with the ice crystals.",Doyle
125,"The trap drove on, and a few minutes later we saw a sudden light spring up among the trees as the lamp was lit in one of the sitting-rooms.",Doyle
126,"""Thank you.",Doyle
127,I asked.,Doyle
128,“Really!,Doyle
129,I remember nothing until I found myself lying on my bed trembling all over.,Doyle
130,"‘Would to God that I had given him notice on the very day that he came,’ she said.",Doyle
131,“What the deuce is it to me?” he interrupted impatiently;,Doyle
132,"We could write in the meantime, and he used to write every day.",Doyle
133,"The train of reasoning ran, ‘Here is a gentleman of a medical type, but with the air of a military man.",Doyle
134,"I asked, eagerly, when we had regained the lower room once more.",Doyle
135,It is perhaps the best possible solution.,Doyle
