,sentence,gender
0,"like as a shipman in stormy wether pluk's downe the sail's tarijnge for bettar winde, so did i, most noble kinge, in my vnfortunate chanche a thurday pluk downe the hy sail's of my ioy and comfort and do trust one day that as troblesome wau's have repulsed me bakwarde, so a gentil winde wil bringe me forwarde to my hauen.",f
1,"Two chief occasions moued me muche and griued me gretly, the one for that i douted your maiesti's helthe, the other bicause for al my longe tarijnge i wente without that i came for.",f
2,"Of the first i am releued in a parte, bothe that i vnderstode of your helthe, and also that your maiesti's loginge is far from my lorde marqu's chamber.",f
3,"Of my other grief i am not eased, but the best is that whatsoever other folk's wil suspect, i intende not to feare your grac's goodwil, wiche as i knowe that i never disarued to faint, so i trust wil stil stike by me.",f
4,"For if your grac's aduis that i shulde retourne (whos wil is a commandemente) had not bine, i wold not haue made the halfe of my way, the inde of my iourney.",f
5,"And thus as one desirous to hire of your maiesti's helth, thogth vnfortunat to se it, i shal pray god for euer to preserue you.",f
6,From hatfilde this present saterday.,f
7,Your maiesti's humble sistar to commandemente elizabe.,f
8,To the king's most excellent maiesty.,f
9,"like as the richeman that dayly gathere rich's to riches, and to one bag of mony laye a greate sort til it come to infinit, so methink's your maiestie, not beinge suffised withe many benefits and gentiln's shewed to me afore this time, dothe now increase them in askinge and desiring wher you may bid and commaunde, requiring a thinge not worthy the desiringe for it selfe, but made worthy for your higthn's request.",f
10,"My pictur i mene, in wiche if the inward good mynde towarde your grace migth as wel be declared as the outwarde face and countenaunse shal be seen, i wold nor haue taried the commandement but preuent it, nor have bine the last to graunt but the first to offer it.",f
11,"For the face, i graunt, i might wel blusche to offer, but the mynde i shal neuer be ashamed to present.",f
12,"For thogth from the grace of the pictur the coulers may fade by time, may giue by wether, may be spotted by chance; yet the other nor time with her swift wing's shal ouertake, nor the misty cloud's with ther lowering's may darken, nor chanse with her slipery fote may ouerthrow.",f
13,"Of this althogth yet the profe coulde not be greate bicause the occasions hathe bine but smal, notwithstandinge as a dog hathe a daye, so may i perchaunse have time to declare it in did's wher now i do write them but in word's.",f
14,"And further i shal most humbly beseche your maiesty that whan you shal loke on my pictur, you wil witsafe to thinke that as you haue but the outwarde shadow of the body afore you, so my inward minde wische that the body it selfe wer oftner in your presence; howbeit bicause bothe my so beinge i thinke coulde do your maiesty litel pleasur, thogth my selfe great good; and againe bicause i se as yet not the time agreing therunto, i shal lerne to folow this sainge of orace, "" (\feras non culp's quod vitari non potest.\) "" and thus i wil (troblinge your maiesty i fere) inde with my most humble thank's.",f
15,"Besechinge god longe to preserue you to his honour, to your comfort, to the realm's profit, and to my joy.",f
16,From hatfilde this 15 day of may.,f
17,Your maiesti's most humbly sistar elizabe.,f
18,"derest vncle, by your lettr's and reporte of the messenger, we have at good length vnderstanded to our great comfort, the good success it hathe pleased god to graunt vs against the scott's by your good courage and wize forsight; for the wich and other the benefit's of god heaped vpon vs, like as we ar most indebted to yeld him most humble thankes, and to seke bi all wai's we mai his true honour, so do we give onto you, good vncle, our most harty thankes, praying you to thanke also most hartely in our name our good cosin therle of warwike, and all the othere of the noble men, gentlemen, and others that have served in this iournei, of whose service, they will all be well assured, we will not (god graunte us soon) shew our self's vnmindfull, but be redy ever to consider the same as any occasion will serve.",m
19,"Yeven at our house of otlandes, the eightene of september.",m
20,Your good neuew edward.,m
21,To our derest vncle the duke of somerset.,m
22,my dutye moste humbly remembred onto your majesty.,f
23,"It maye please the same to be advertysed that i have by my servant's receaved your moste honorable letter, the content's wherof doe not a litle trouble me, and so much the more for that any of my servants should move or attempte me in matter's towching my sowle, which i thinke the meaneste subjecte within your realme could evell beare at their servant's hande; havinge for my parte utterly refused heretofor to talke with them in such matteres, and of all other person's leaste regarded them therein; to whom i have declared what i thinke as she which trusted that your majesty would have suffered me your poore humble sister and beadeswoman to have used the accustomed masse, which the kinge your father and myne with all his predecessor's evermore used; wherin also i have been brought upp from my youth, and therunto my conscyense do not only bynde me, which by noe mean's will suffer me to thinke one thing and do another, but also the promize made to the emperore by your majesti's counsell was an assuranse to me that in so doinge i should not offend the lawes, although they seeme now to quallefye and deny the thing.",f
24,"And at my laste waytinge upon your majesty i was so bould to declare my mynd and conscyense to the same, and desired your highnes, rather then you should constraine me to leave the masse, to take my life, whereunto your majesty made me a very gentle answere.",f
25,And nowe i beseche your highn's to give me leave to write what i thinke towching your majesti's letter's.,f
26,"In deed they be signed with your owne hand, and neverthelesse in my oppinione not your majesti's in effecte, because it is well knowne (as heretofore i have declared in the presense of your highnes) that althoughe, our lorde be praysed, your majesty has farre more knowledge and greater guift's then other's of your yeares, yett it is not possyble that your highn's can at theis year's be a judge in matters of religeon.",f
27,"And therefore i take it that the matter in your letter procede from such as do wish those thing's to take place, which be moste agreeable to themselves; by whose doing's (your majesty not offended) i intend not to rule my conscyense.",f
28,"And thus, without molestynge your highn's any further, i humblye beseeche the same ever, for gods sake, to beare with me as you have done, and not to thinke that by my doing's or insample any inconvenyense might growe to your majesty or your realme; for i use it not after any such soarte; puttyng no doubte but in tyme to come, whether i live or die, your majesty will perceave myne intente is grownded upon a true love toward's you, whose royal estate i beseech almighty god longe to contynewe, which is and shalbe my dayly prayer, accordinge to my dutye.",f
29,"And after pardon craved of your majesty for th's rude and boulde letteres, yf neither at my humble suite, nor for regard of the promisse made to the emperor, your highn's will suffer and beare with me, as you have done, tyll your majesty may be a judge herein yourselfe, and right understand their proceedinges, (of which your goodness yet i dispaire not,) otherwise, rather then to offend god and my conscyense i offer my bodye at your will, and death will be more welcome than lyfe with a trowbeled conssyense.",f
30,"Moste humbly beseching your majesty to pardon my slowen's in answeringe your letteres, for my owlde deseasse would not suffer me to write any soner.",f
31,"And thus i praye almighty god to keep your majesty in alle vertue and honor, with good health and longe lyfe to his pleasure.",f
32,From my poore howse at copped hal the xix of auguste.,f
33,Your majestie's moste humble sistere mary.,f
34,jane the quene.,f
35,"Right trusty and right welbeloved cousen, we grete you well, advertising the same that where yt has pleased almighty god to cal to his mercy out of this soon our derest cousen the king your late sovereigne lorde, by reason wherof ande suche ordenanc's as the said late king did establishe in his soon tyme for the security and welthe of this realme, we are intrerid into our rightfull possession of this kingdome, as by the last will of our said derest cousen, our late progenitor, and other several instruments to that effect signed with his own hande and sealed with the grete seale of this realme in his own presence, wherunto the nobl's of this realme for the most parte and all our counsaill and judges, with the mayor and aldermen of our cyty of london, and dyvers other grave personag's of this our realme of ingland, have also subscribed there names, as by the same will and instrument it maye more evidently and plainly apere; we therfore doo you to understand, that by th'ordenanse and sufferaunse of the hevenly lord and king, and by th'assent and consent of our said nobl's and counsellors, and others before specifyed, we doo this daye make our interye into our towre of london as rightfull quene of this realme; and have accordingly sett furthe our proclamacions to all our loving subjects gyvenge them therby to understande their duti's and allegeaunse which they now of right owe onto us as more amply by the same you will briefly perceyve and understand; nothing doubting, right trusty and right welbeloued cosen, but that you will indever yourself in all things to the uttermost of your powre, not only to defend our just title, but also assist us in our rightfull possession of this kingdome, and to disturbe, repell, and resist the fayned and untrue clayme of the lady mary basterd daughter to our grete uncle henry the eight of famous memory; wherein as you will doo that which to youre honor, truthe, and duty aperteyneth, so will we remembre the same onto you and yours accordingly.",f
36,"And our further pleasure is that you will contynue, doo, and execute every thinge and things as our lieutenant within all places, according to the tenor of the commission addressed onto you from our late cousen king edward the vj=th= in such and like sorte as if the same hadd byn, as we mynde shortely it shal be, renued, and by us confirmed under our grete seale onto you.",f
37,"Yeven under our signet at our tower of london the xj=th= of july, the furst yere of our reign.",f
38,"To our right trusty and right welbeloved cousyn and counsaillor the marquiss of northampton our lieutenant general of our county of surrey and to our trusty and welbeloved the deput's of that lieutenancy; and the sheriff, the chief justic's of peace and the worshipfull of that shire.",f
39,jane the quene.,f
40,By the quene.,f
41,Trusty and wilbiloved we grete you well.,f
42,"Albeit that our estate in this imperial crowne wherof we be actually and really possessed, as partely may appere by our proclamacion wherin our tytle is published, is not ne can be in any wize doubtfull to all suche our good faithfull subjects as, setting blynd affection apart, do with reason and wysdom consider the very foundacion and grounde of our tytle, with the grete commoditi's therby coming thorough gods providense to the preservacion of our comon weale and polycie; yet for that we undrestande the ladye marye dothe not cease by lettr's in hir name, provoked therto by hir adherents, inemy's of this realme, to publishe and notiefy sklanderously to dyverse of our subjects matter derogatorye to our title an dignity royall, withe the slandre of certen of our nobility and counsell, we have thought mete to admonishe and exhorte you, as our true and faithfull subjects, to remayne fast in your obeysaunse and duety to the imperial crowne of this realme, whereof we have justely the possession; and not to be removed any wize from your duety by sklanderous reports or lettres, dispersed abrode either by the said lady marye, or by hir adherence; for truelye like as the nobility of our realme, our counsell, oure prelats, oure judges, and lerned men, and others good wize men, godly and natural subjects, do remayne fast and surelye in their allegianse towards us, redy to adventure their lives, landes, and good's for our defence, so can a greate numbre of the same nobilitie, counsailors, and judg's truely testifye to all the worlde, with savetye of their conscience, howe carefully and ernestly the late king of famous memorye our dere cousen king edward the sixt from tyme to tyme mentioned and provoked them partelye by perswasion, partely commandements, to have suche respecte to his succession if god shuld cal him to his mercye without issue, as might be the preservacion of the crowne in the hole undefyled inglish bloud; and therfore of his owne mere motion, both by graunt of his lettr's patents, and by declaration of his will, established the succession as it is declared by our proclamacion.",f
43,"And for the testimonye herof to the satisfaction of suche as will conceyve any doubt herin, we understand that certen of our nobility have written at this present, in some parte to admonishe you of your duties, and to testify their knowledge of the truethe of our tytle and right.",f
44,"Wherfore we leave to procede further therin, being assured in the goodn's of god that your harts shalbe confirmed to owe your duetye to us your soveraigne lady, who meane to preserve this crowne of ingland in the royal blound, and out of the  of straungers and papists, with the defense of all you our good subjects, your lieves, lands, and goods, in our peace agaynst the invasions and violense of all forein or inward inemi's and rebells.",f
45,"Yeven under our signet at our tower of london the xvj=th= day of july, in the first yere of our reigne.",f
46,"To our trusty and welbeloved the shirieff, justic's of peace, and other gentilmen of our county of surrey, and to every of them.",f
